Datetime,Frames,Bytes
2022-07-07 20:16:00,45723,2712892
2022-07-07 20:16:05,42981,2553204
2022-07-07 20:16:10,48256,2872188
2022-07-07 20:16:15,47235,2830628
2022-07-07 20:16:20,48256,2893184
2022-07-07 20:16:25,50730,3035930
2022-07-07 20:16:30,47137,2822024
2022-07-07 20:16:35,49415,2956024
2022-07-07 20:16:40,59622,3540680
2022-07-07 20:16:45,35278,2093158
2022-07-07 20:16:50,40607,2410016
2022-07-07 20:16:55,50855,3017394
2022-07-07 20:17:00,31963,1896470
2022-07-07 20:17:05,43543,2583548
2022-07-07 20:17:10,46339,2749430
2022-07-07 20:17:15,82287,4890646
2022-07-07 20:17:20,74325,4421788
2022-07-07 20:17:25,60951,3624648
2022-07-07 20:17:30,75024,4453024
2022-07-07 20:17:35,61159,3629002
2022-07-07 20:17:40,48034,2850222
2022-07-07 20:17:45,67941,4031164
2022-07-07 20:17:50,54098,3211176
2022-07-07 20:17:55,58171,3451468
2022-07-07 20:18:00,56266,3338366
2022-07-07 20:18:05,47446,2815140
2022-07-07 20:18:10,72323,4291192
2022-07-07 20:18:15,55039,3265606
2022-07-07 20:18:20,42828,2549564
2022-07-07 20:18:25,50823,3041764
2022-07-07 20:18:30,50802,3043150
2022-07-07 20:18:35,63687,3796276
2022-07-07 20:18:40,47481,2842794
2022-07-07 20:18:45,61216,3654732
2022-07-07 20:18:50,56033,3346654
2022-07-07 20:18:55,49819,2956820
2022-07-07 20:19:00,50404,2990968
2022-07-07 20:19:05,54909,3257878
2022-07-07 20:19:10,48212,2860672
2022-07-07 20:19:15,52771,3131052
2022-07-07 20:19:20,45414,2694574
2022-07-07 20:19:25,49769,2955498
2022-07-07 20:19:30,61113,3632406
2022-07-07 20:19:35,69161,4112898
2022-07-07 20:19:40,66814,3969276
2022-07-07 20:19:45,57566,3416802
2022-07-07 20:19:50,67183,3988564
2022-07-07 20:19:55,61066,3623198
2022-07-07 20:20:00,53044,3147288
2022-07-07 20:20:05,60821,3609514
2022-07-07 20:20:10,59423,3525766
2022-07-07 20:20:15,49910,2961928
2022-07-07 20:20:20,59295,3518578
2022-07-07 20:20:25,62695,3719926
2022-07-07 20:20:30,56204,3351660
2022-07-07 20:20:35,54886,3269118
2022-07-07 20:20:40,50919,3041902
2022-07-07 20:20:45,48303,2889164
2022-07-07 20:20:50,60400,3599866
2022-07-07 20:20:55,47889,2869832
2022-07-07 20:21:00,61172,3647896
2022-07-07 20:21:05,51071,3045888
2022-07-07 20:21:10,44432,2636286
2022-07-07 20:21:15,68938,4090458
2022-07-07 20:21:20,50635,3004768
2022-07-07 20:21:25,46840,2779168
2022-07-07 20:21:30,67733,4018818
2022-07-07 20:21:35,44827,2659740
2022-07-07 20:21:40,54009,3211822
2022-07-07 20:21:45,74070,4396642
2022-07-07 20:21:50,55166,3278946
2022-07-07 20:21:55,66973,3979396
2022-07-07 20:22:00,70776,4199366
2022-07-07 20:22:05,57530,3413596
2022-07-07 20:22:10,71652,4252318
2022-07-07 20:22:15,67410,3999724
2022-07-07 20:22:20,61289,3636458
2022-07-07 20:22:25,70582,4188220
2022-07-07 20:22:30,64842,3847458
2022-07-07 20:22:35,65062,3860822
2022-07-07 20:22:40,62335,3702554
2022-07-07 20:22:45,61400,3658698
2022-07-07 20:22:50,62790,3744590
2022-07-07 20:22:55,55959,3337368
2022-07-07 20:23:00,52504,3146888
2022-07-07 20:23:05,54337,3246550
2022-07-07 20:23:10,50080,3001886
2022-07-07 20:23:15,62021,3690472
2022-07-07 20:23:20,52832,3142804
2022-07-07 20:23:25,53888,3197352
2022-07-07 20:23:30,59476,3529030
2022-07-07 20:23:35,48621,2884840
2022-07-07 20:23:40,55946,3319436
2022-07-07 20:23:45,64828,3846494
2022-07-07 20:23:50,46673,2769264
2022-07-07 20:23:55,52763,3136796
2022-07-07 20:24:00,65300,3878816
2022-07-07 20:24:05,56321,3348852
2022-07-07 20:24:10,56103,3332526
2022-07-07 20:24:15,65051,3859666
2022-07-07 20:24:20,40566,2406876
2022-07-07 20:24:25,60817,3609862
2022-07-07 20:24:30,49033,2911228
2022-07-07 20:24:35,39012,2314650
2022-07-07 20:24:40,58882,3493666
2022-07-07 20:24:45,49720,2950054
2022-07-07 20:24:50,49518,2938068
2022-07-07 20:24:55,60516,3600514
2022-07-07 20:25:00,45879,2730910
2022-07-07 20:25:05,49456,2959146
2022-07-07 20:25:10,60739,3620578
2022-07-07 20:25:15,53184,3189272
2022-07-07 20:25:20,58062,3473082
2022-07-07 20:25:25,45420,2720256
2022-07-07 20:25:30,59417,3536090
2022-07-07 20:25:35,54675,3246188
2022-07-07 20:25:40,39227,2327470
2022-07-07 20:25:45,57891,3434856
2022-07-07 20:25:50,53153,3153744
2022-07-07 20:25:55,39643,2352152
2022-07-07 20:26:00,59540,3532696
2022-07-07 20:26:05,42298,2509682
2022-07-07 20:26:10,58582,3481950
2022-07-07 20:26:15,58685,3486184
2022-07-07 20:26:20,66821,3970088
2022-07-07 20:26:25,60956,3616750
2022-07-07 20:26:30,55650,3302050
2022-07-07 20:26:35,58292,3459882
2022-07-07 20:26:40,71482,4241628
2022-07-07 20:26:45,62730,3721938
2022-07-07 20:26:50,62041,3681610
2022-07-07 20:26:55,60387,3583040
2022-07-07 20:27:00,60488,3589024
2022-07-07 20:27:05,64861,3848432
2022-07-07 20:27:10,58072,3458750
2022-07-07 20:27:15,63095,3749696
2022-07-07 20:27:20,47605,2854750
2022-07-07 20:27:25,60006,3578440
2022-07-07 20:27:30,52972,3175324
2022-07-07 20:27:35,57225,3422140
2022-07-07 20:27:40,50832,3039248
2022-07-07 20:27:45,64412,3832162
2022-07-07 20:27:50,61265,3635062
2022-07-07 20:27:55,63091,3743554
2022-07-07 20:28:00,58510,3471576
2022-07-07 20:28:05,65648,3895114
2022-07-07 20:28:10,57169,3392026
2022-07-07 20:28:15,55003,3263464
2022-07-07 20:28:20,64326,3817796
2022-07-07 20:28:25,56970,3386244
2022-07-07 20:28:30,61522,3654082
2022-07-07 20:28:35,66965,3978602
2022-07-07 20:28:40,60590,3594996
2022-07-07 20:28:45,61993,3678226
2022-07-07 20:28:50,60144,3569174
2022-07-07 20:28:55,59669,3540358
2022-07-07 20:29:00,65717,3899218
2022-07-07 20:29:05,61032,3621476
2022-07-07 20:29:10,61648,3657772
2022-07-07 20:29:15,66168,3926334
2022-07-07 20:29:20,63168,3748004
2022-07-07 20:29:25,59201,3529618
2022-07-07 20:29:30,60356,3598414
2022-07-07 20:29:35,51234,3068478
2022-07-07 20:29:40,60154,3583342
2022-07-07 20:29:45,50718,3037080
2022-07-07 20:29:50,55187,3303944
2022-07-07 20:29:55,58744,3501084
2022-07-07 20:30:00,57052,3409030
2022-07-07 20:30:05,53064,3157004
2022-07-07 20:30:10,44254,2625780
2022-07-07 20:30:15,45252,2684898
2022-07-07 20:30:20,45403,2693846
2022-07-07 20:30:25,47061,2792632
2022-07-07 20:30:30,52401,3109958
2022-07-07 20:30:35,44112,2628488
2022-07-07 20:30:40,48909,2906070
2022-07-07 20:30:45,38936,2310366
2022-07-07 20:30:50,39367,2335766
2022-07-07 20:30:55,42485,2520742
2022-07-07 20:31:00,42503,2522674
2022-07-07 20:31:05,39291,2331154
2022-07-07 20:31:10,36998,2195560
2022-07-07 20:31:15,41513,2463052
2022-07-07 20:31:20,41690,2473520
2022-07-07 20:31:25,40010,2373900
2022-07-07 20:31:30,49393,2938184
2022-07-07 20:31:35,43435,2580616
2022-07-07 20:31:40,50447,3014044
2022-07-07 20:31:45,56574,3370252
2022-07-07 20:31:50,53693,3218710
2022-07-07 20:31:55,53042,3176312
2022-07-07 20:32:00,59331,3547644
2022-07-07 20:32:05,48693,2909164
2022-07-07 20:32:10,59839,3572066
2022-07-07 20:32:15,49946,2966436
2022-07-07 20:32:20,49883,2961134
2022-07-07 20:32:25,45341,2690208
2022-07-07 20:32:30,50613,3002974
2022-07-07 20:32:35,45346,2691282
2022-07-07 20:32:40,44580,2658506
2022-07-07 20:32:45,47091,2797270
2022-07-07 20:32:50,48599,2883922
2022-07-07 20:32:55,39712,2357030
2022-07-07 20:33:00,41706,2475336
2022-07-07 20:33:05,36161,2145838
2022-07-07 20:33:10,46166,2739142
2022-07-07 20:33:15,31869,1894028
2022-07-07 20:33:20,31865,1890656
2022-07-07 20:33:25,36092,2141394
2022-07-07 20:33:30,34002,2017428
2022-07-07 20:33:35,29800,1768134
2022-07-07 20:33:40,48120,2869176
2022-07-07 20:33:45,60284,3583896
2022-07-07 20:33:50,46747,2786344
2022-07-07 20:33:55,41914,2503392
2022-07-07 20:34:00,52597,3147372
2022-07-07 20:34:05,47292,2836470
2022-07-07 20:34:10,48136,2886138
2022-07-07 20:34:15,54121,3236742
2022-07-07 20:34:20,69077,4109072
2022-07-07 20:34:25,44974,2671126
2022-07-07 20:34:30,42876,2545134
2022-07-07 20:34:35,44549,2643240
2022-07-07 20:34:40,40653,2418828
2022-07-07 20:34:45,44559,2653556
2022-07-07 20:34:50,42124,2502046
2022-07-07 20:34:55,37713,2237618
2022-07-07 20:35:00,36490,2164984
2022-07-07 20:35:05,48356,2869142
2022-07-07 20:35:10,47154,2798158
2022-07-07 20:35:15,37336,2215164
2022-07-07 20:35:20,43223,2564626
2022-07-07 20:35:25,42973,2553482
2022-07-07 20:35:30,39252,2329542
2022-07-07 20:35:35,33826,2007010
2022-07-07 20:35:40,40333,2393088
2022-07-07 20:35:45,40389,2398396
2022-07-07 20:35:50,48420,2878074
2022-07-07 20:35:55,47445,2820026
2022-07-07 20:36:00,53653,3204458
2022-07-07 20:36:05,48733,2914320
2022-07-07 20:36:10,54094,3233152
2022-07-07 20:36:15,49250,2951594
2022-07-07 20:36:20,48566,2912116
2022-07-07 20:36:25,54563,3256460
2022-07-07 20:36:30,49178,2929750
2022-07-07 20:36:35,55904,3319690
2022-07-07 20:36:40,42560,2528348
2022-07-07 20:36:45,38368,2277118
2022-07-07 20:36:50,45817,2724244
2022-07-07 20:36:55,43229,2576168
2022-07-07 20:37:00,35136,2087138
2022-07-07 20:37:05,42891,2544838
2022-07-07 20:37:10,36848,2187890
2022-07-07 20:37:15,28942,1717208
2022-07-07 20:37:20,34756,2062188
2022-07-07 20:37:25,37873,2247002
2022-07-07 20:37:30,36348,2156598
2022-07-07 20:37:35,40927,2430812
2022-07-07 20:37:40,37192,2208084
2022-07-07 20:37:45,37579,2229960
2022-07-07 20:37:50,36891,2188938
2022-07-07 20:37:55,38940,2311902
2022-07-07 20:38:00,48489,2893418
2022-07-07 20:38:05,43399,2593924
2022-07-07 20:38:10,44542,2646586
2022-07-07 20:38:15,59817,3565520
2022-07-07 20:38:20,47737,2859842
2022-07-07 20:38:25,49834,2987680
2022-07-07 20:38:30,56066,3352462
2022-07-07 20:38:35,71358,4246760
2022-07-07 20:38:40,55570,3305874
2022-07-07 20:38:45,63638,3778084
2022-07-07 20:38:50,54706,3250018
2022-07-07 20:38:55,47214,2818162
2022-07-07 20:39:00,44339,2638398
2022-07-07 20:39:05,44528,2642068
2022-07-07 20:39:10,39887,2366690
2022-07-07 20:39:15,44108,2617028
2022-07-07 20:39:20,46841,2780576
2022-07-07 20:39:25,37135,2203304
2022-07-07 20:39:30,41938,2488570
2022-07-07 20:39:35,41891,2487346
2022-07-07 20:39:40,38866,2306030
2022-07-07 20:39:45,41614,2469108
2022-07-07 20:39:50,48558,2881522
2022-07-07 20:39:55,55246,3277996
2022-07-07 20:40:00,43622,2588306
2022-07-07 20:40:05,49143,2919766
2022-07-07 20:40:10,51285,3063652
2022-07-07 20:40:15,51640,3081224
2022-07-07 20:40:20,48181,2858632
2022-07-07 20:40:25,54780,3272312
2022-07-07 20:40:30,50973,3057090
2022-07-07 20:40:35,58577,3500662
2022-07-07 20:40:40,54779,3275316
2022-07-07 20:40:45,55041,3279342
2022-07-07 20:40:50,54581,3244144
2022-07-07 20:40:55,46555,2766222
2022-07-07 20:41:00,50587,3002944
2022-07-07 20:41:05,43423,2580958
2022-07-07 20:41:10,56189,3345720
2022-07-07 20:41:15,47471,2823580
2022-07-07 20:41:20,38231,2269960
2022-07-07 20:41:25,34612,2054798
2022-07-07 20:41:30,35238,2092446
2022-07-07 20:41:35,33370,1980380
2022-07-07 20:41:40,29035,1724528
2022-07-07 20:41:45,35150,2085566
2022-07-07 20:41:50,33006,1958356
2022-07-07 20:41:55,32024,1900052
2022-07-07 20:42:00,38257,2269866
2022-07-07 20:42:05,38515,2285162
2022-07-07 20:42:10,33230,1971608
2022-07-07 20:42:15,47715,2839332
2022-07-07 20:42:20,49371,2947914
2022-07-07 20:42:25,47221,2815168
